,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Order_Hour,Order_Min,Picked_Hour,Picked_Min
5110,34.0,4.7,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Urban,23,22,40,22,50
5111,35.0,4.9,Stormy,Low,2,Buffet,motorcycle,1.0,No,Urban,19,22,35,22,50
5112,33.0,4.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,26,19,55,0.833333333,
5113,23.0,4.9,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,30,0.791666667,,19,05
5114,38.0,5.0,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,22,25,22,40
5115,20.0,5.0,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,21,45,0.916666667,
5116,21.0,4.6,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24,22,20,22,25
5117,23.0,4.7,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,38,20,10,20,15
5118,36.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,1,,24,05
5119,34.0,4.6,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,26,16,30,16,40
5120,21.0,4.6,Stormy,Jam,2,Buffet,scooter,0.0,No,Urban,16,20,25,20,40
5121,27.0,5.0,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,25,17,40,17,55
5122,32.0,4.9,Sunny,Medium,1,Buffet,scooter,0.0,No,Metropolitian,24,18,40,18,55
5123,30.0,4.4,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Metropolitian,35,11,45,11,55
5124,22.0,4.6,Fog,Medium,2,Buffet,scooter,0.0,No,Urban,19,18,25,18,40
5125,32.0,4.9,Windy,Low,2,Snack,electric_scooter,1.0,No,Urban,24,0.958333333,,23,15
5126,20.0,4.5,Cloudy,Low,2,Meal,scooter,1.0,No,Urban,15,09,40,09,45
5127,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,37,19,30,19,35
5128,29.0,4.6,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,24,17,55,18,05
5129,34.0,4.7,Sunny,Medium,2,Drinks,scooter,1.0,No,Metropolitian,16,15,25,15,35
5130,38.0,4.6,Fog,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,37,17,45,0.75,
5131,31.0,4.7,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,26,23,20,23,25
5132,35.0,4.9,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,17,20,17,25
5133,32.0,4.7,Windy,High,1,Snack,motorcycle,1.0,No,Metropolitian,26,11,35,11,50
5134,32.0,4.7,Sandstorms,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,26,17,20,17,25
5135,22.0,4.2,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,21,10,30,10,35
5136,26.0,4.6,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,11,17,20,17,35
5137,29.0,4.6,Stormy,Jam,2,Snack,motorcycle,,No,Metropolitian,24,21,40,21,55
5138,38.0,4.9,Stormy,Low,1,Buffet,scooter,0.0,No,Metropolitian,29,1,,24,10
5139,39.0,4.3,Stormy,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,47,21,25,21,40
5140,38.0,4.6,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,26,0.958333333,,23,05
5141,22.0,4.9,Stormy,High,1,Meal,scooter,1.0,No,Metropolitian,17,12,35,12,50
5142,37.0,4.9,Sandstorms,Low,1,Buffet,scooter,0.0,No,Metropolitian,24,23,20,23,30
5143,29.0,5.0,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,17,17,15,17,30
5144,27.0,4.8,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,28,22,50,23,05
5145,29.0,4.9,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,11,08,25,08,40
5146,35.0,4.6,Stormy,Medium,2,Buffet,scooter,1.0,No,Urban,27,18,50,18,55
5147,33.0,5.0,Cloudy,High,2,Buffet,scooter,0.0,No,Metropolitian,31,11,10,11,25
5148,32.0,4.7,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,23,45,23,55
5149,33.0,3.8,Stormy,Medium,1,Meal,motorcycle,2.0,No,Urban,37,18,45,18,50
5150,34.0,4.9,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,10,15,10,20
5151,26.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,1,,24,10
5152,38.0,4.4,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,23,10,23,15
5153,20.0,4.8,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,19,23,45,23,50
5154,22.0,4.1,Cloudy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,36,17,25,17,40
5155,35.0,4.7,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,23,0.875,,21,10
5156,27.0,4.1,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,10,55,11,10
5157,28.0,4.9,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,21,12,35,12,50
5158,36.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,26,22,30,22,35
5159,32.0,4.7,Stormy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,26,17,15,17,20
5160,50.0,6.0,,,3,Drinks,scooter,1.0,No,Metropolitian,20,,,18,50
5161,36.0,4.3,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,38,18,30,18,40
5162,36.0,4.7,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,28,10,30,10,45
5163,23.0,4.9,Fog,High,0,Buffet,motorcycle,0.0,No,Metropolitian,28,12,30,12,40
5164,28.0,5.0,Fog,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,49,19,30,19,35
5165,27.0,4.7,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,28,16,25,16,35
5166,26.0,4.6,Fog,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,13,17,15,17,20
5167,35.0,4.7,Stormy,High,0,Buffet,motorcycle,2.0,No,Metropolitian,44,13,15,13,25
5168,24.0,4.5,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,08,40,08,50
5169,35.0,4.0,Windy,Jam,0,Buffet,motorcycle,2.0,No,Semi-Urban,50,20,55,21,05
5170,25.0,4.9,Windy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,16,09,55,10,05
5171,35.0,4.3,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,33,16,40,16,55
5172,35.0,4.7,Cloudy,Low,2,Meal,motorcycle,1.0,No,Urban,28,23,15,23,25
5173,20.0,4.6,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,24,18,20,18,25
5174,38.0,3.7,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,39,19,10,19,15
5175,38.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,17,22,10,22,15
5176,29.0,4.9,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,29,18,40,18,55
5177,28.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Urban,15,23,25,23,40
5178,39.0,4.7,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,28,19,55,20,10
5179,30.0,5.0,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,25,22,20,22,30
5180,29.0,4.7,Cloudy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,25,19,55,0.833333333,
5181,30.0,5.0,Cloudy,Low,1,Buffet,scooter,0.0,No,Urban,16,22,30,22,40
5182,21.0,4.6,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,20,35,20,40
5183,20.0,4.8,Windy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,23,0.75,,18,10
5184,21.0,5.0,Sunny,Low,2,Meal,scooter,0.0,No,Metropolitian,15,08,20,08,25
5185,34.0,4.9,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,19,23,30,23,45
5186,24.0,4.8,Sunny,Jam,2,Snack,scooter,1.0,No,,18,21,10,21,25
5187,29.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,21,22,20,22,25
5188,29.0,4.7,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,24,23,10,23,20
5189,26.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19,09,50,09,55
5190,26.0,4.0,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,36,21,10,21,25
5191,25.0,4.1,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,19,0.416666667,,10,05
5192,33.0,4.8,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,14,10,55,11,05
5193,27.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,No,,20,19,55,0.833333333,
5194,22.0,4.9,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,29,18,45,18,55
5195,30.0,4.4,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,32,21,25,21,40
5196,31.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,25,21,10,21,15
5197,28.0,4.9,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,22,20,15,20,25
5198,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,20,25,20,35
5199,35.0,4.1,Fog,Jam,2,Buffet,motorcycle,1.0,No,Urban,44,20,30,20,45
5200,31.0,5.0,Stormy,High,2,Buffet,scooter,1.0,No,Urban,29,0.5,,12,10
5201,22.0,4.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,12,20,50,20,55
5202,29.0,4.6,Sunny,Jam,1,Buffet,motorcycle,1.0,No,Urban,18,20,20,20,30
5203,37.0,5.0,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,20,10,20,25
5204,33.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,25,22,50,0.958333333,
5205,39.0,4.9,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,25,23,50,23,55
5206,33.0,4.9,Fog,Low,2,Drinks,electric_scooter,,No,Metropolitian,18,23,15,23,30
5207,32.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,30,23,50,24,05
5208,,,,,3,Meal,bicycle,0.0,No,,20,,,18,35
5209,39.0,4.9,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,25,11,10,11,25
5210,25.0,4.9,Stormy,Jam,2,Meal,electric_scooter,,No,Urban,29,19,25,19,40
5211,26.0,5.0,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,39,21,55,22,10
5212,39.0,4.3,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,37,21,10,21,20
5213,21.0,4.9,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,19,19,35,19,40
5214,32.0,4.9,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,26,09,30,09,40
5215,35.0,4.9,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,18,23,10,23,25
5216,25.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27,21,35,21,45
5217,35.0,4.7,Sunny,Jam,2,Buffet,scooter,1.0,No,Urban,21,20,10,20,20
5218,33.0,4.8,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,16,22,40,22,50
5219,24.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,36,20,35,20,45
5220,20.0,5.0,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,20,10,20,25
5221,34.0,4.8,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,49,20,50,20,55
5222,36.0,5.0,Cloudy,Medium,1,Meal,motorcycle,0.0,No,Urban,17,16,15,16,20
5223,23.0,4.8,Cloudy,Low,1,Meal,motorcycle,0.0,No,Urban,16,23,45,23,50
5224,20.0,2.7,Sunny,Low,1,Meal,scooter,2.0,No,Metropolitian,39,22,30,22,35
5225,34.0,4.8,Cloudy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,15,0.75,,18,05
5226,21.0,4.1,Cloudy,Medium,2,Drinks,scooter,,No,Metropolitian,38,18,20,18,30
5227,28.0,4.7,Windy,Low,1,Meal,scooter,0.0,No,Urban,18,10,25,10,30
5228,28.0,4.7,Sunny,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20,45,20,55
5229,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,37,18,10,18,15
5230,29.0,4.8,Fog,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,43,21,55,0.916666667,
5231,37.0,4.5,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,35,21,50,0.916666667,
5232,29.0,5.0,Sunny,Low,2,Drinks,electric_scooter,0.0,No,Urban,24,22,20,22,35
5233,26.0,5.0,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,18,20,10,20,25
5234,29.0,5.0,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,34,18,20,18,25
5235,36.0,4.7,Sunny,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,17,21,35,21,50
5236,24.0,4.6,Fog,High,2,Snack,scooter,1.0,No,,20,13,35,13,40
5237,32.0,4.7,Sunny,Low,0,Drinks,motorcycle,1.0,No,Urban,25,23,10,23,20
5238,25.0,4.8,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,21,55,22,10
5239,36.0,4.9,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,19,45,19,50
5240,39.0,4.7,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,13,10,40,10,55
5241,31.0,4.0,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,48,18,40,18,50
5242,34.0,4.9,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,28,13,45,0.583333333,
5243,27.0,4.9,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,29,20,20,20,35
5244,21.0,4.6,Stormy,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,14,09,35,09,45
5245,25.0,4.2,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Urban,20,08,30,08,35
5246,37.0,4.4,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,19,40,19,55
5247,28.0,4.3,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,25,22,20,22,30
5248,25.0,4.1,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,18,55,19,10
5249,39.0,4.7,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,28,23,15,23,30
5250,21.0,4.9,Cloudy,High,2,Snack,electric_scooter,1.0,No,Urban,27,11,50,0.5,
5251,22.0,4.3,Cloudy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,42,20,45,20,50
5252,34.0,3.6,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,34,23,30,23,45
5253,23.0,4.7,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,27,17,55,0.75,
5254,39.0,4.4,Fog,Jam,1,Snack,scooter,0.0,No,Metropolitian,41,21,50,22,05
5255,31.0,4.8,Windy,Low,1,Meal,motorcycle,1.0,No,Urban,22,23,55,24,10
5256,33.0,4.6,Windy,High,2,Drinks,motorcycle,1.0,No,Metropolitian,26,14,20,14,25
5257,27.0,4.8,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,23,22,30,22,45
5258,38.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,0.916666667,,22,05
5259,27.0,4.9,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26,21,25,21,40
5260,27.0,4.6,Sunny,Medium,0,Meal,motorcycle,1.0,No,Urban,21,17,25,17,40
5261,22.0,4.8,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,21,21,40,21,50
5262,38.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Urban,38,22,15,22,25
5263,32.0,4.4,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,33,21,40,21,55
5264,20.0,4.9,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,23,15,20,15,30
5265,26.0,5.0,Stormy,Medium,1,Meal,scooter,1.0,No,Urban,23,15,45,0.666666667,
5266,26.0,4.9,Stormy,Low,0,Drinks,motorcycle,0.0,No,Urban,24,22,10,22,15
5267,21.0,4.6,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,21,0.791666667,,19,15
5268,,,Windy,Medium,1,Buffet,scooter,1.0,No,Urban,32,,,17,30
5269,31.0,4.8,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,16,23,25,23,40
5270,26.0,4.9,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37,18,40,18,50
5271,23.0,4.7,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,14,21,40,21,45
5272,26.0,4.9,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,24,18,30,18,35
5273,,,,,3,Meal,bicycle,0.0,No,Urban,12,,,23,45
5274,22.0,4.8,Stormy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19,22,30,22,45
5275,24.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15,08,40,08,50
5276,39.0,4.8,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,47,20,30,20,45
5277,21.0,4.9,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,16,09,10,09,20
5278,,,Cloudy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,20,,,21,35
5279,33.0,4.6,Sandstorms,Low,2,Snack,electric_scooter,1.0,No,Urban,17,23,25,23,35
5280,35.0,4.8,Fog,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,18,18,45,0.791666667,
5281,26.0,4.6,Fog,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,27,17,55,18,05
5282,20.0,4.6,Cloudy,Low,2,Snack,scooter,1.0,No,Metropolitian,20,23,40,23,50
5283,24.0,4.8,Sandstorms,Low,2,Snack,scooter,1.0,No,Urban,12,09,30,09,45
5284,39.0,4.0,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,21,40,21,55
5285,32.0,4.6,Sunny,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,17,10,17,25
5286,33.0,4.8,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,44,17,35,17,45
5287,39.0,4.6,Fog,High,1,Meal,motorcycle,1.0,No,Metropolitian,27,13,50,0.583333333,
5288,37.0,4.1,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,33,08,55,0.375,
5289,20.0,4.7,Sandstorms,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,24,18,40,18,55
5290,21.0,4.5,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,34,17,15,17,30
5291,39.0,4.3,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,32,0.5,,12,10
5292,22.0,4.9,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,34,21,35,21,45
5293,37.0,4.5,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,36,20,40,20,50
5294,30.0,4.6,Sunny,Low,2,Snack,motorcycle,1.0,No,Metropolitian,28,23,55,24,05
5295,32.0,4.6,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Urban,25,09,35,09,50
5296,34.0,4.7,Windy,Low,2,Drinks,scooter,1.0,No,Urban,15,23,45,23,50
5297,39.0,4.4,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31,20,35,20,50
5298,31.0,4.9,Windy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,33,21,20,21,25
5299,30.0,4.6,Windy,Low,1,Drinks,motorcycle,0.0,No,Urban,26,22,30,22,35
5300,33.0,4.7,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,21,23,10,23,20
5301,,,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,16,,,17,50
5302,35.0,3.7,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,36,19,15,19,20
5303,21.0,4.8,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,17,22,15,22,30
5304,36.0,4.8,Fog,Low,2,Meal,electric_scooter,1.0,No,,17,08,40,08,55
5305,24.0,4.5,Fog,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,13,17,40,17,45
5306,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20,20,20,35
5307,26.0,4.1,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,48,13,45,0.583333333,
5308,38.0,4.1,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,40,19,45,19,55
5309,34.0,4.9,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,30,18,50,0.791666667,
5310,21.0,2.8,Sunny,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,35,23,40,23,45
5311,20.0,4.8,Fog,Medium,0,Meal,motorcycle,1.0,No,Urban,27,17,35,17,50
5312,38.0,4.6,Windy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,28,15,55,16,05
5313,20.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,29,17,50,18,05
5314,24.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,20,20,20,20,30
5315,39.0,5.0,Cloudy,Medium,2,Meal,scooter,0.0,No,Metropolitian,15,0.75,,18,15
5316,38.0,4.9,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,41,21,25,21,35
5317,34.0,4.7,Sunny,Medium,2,Snack,motorcycle,,No,Metropolitian,21,15,55,16,05
5318,39.0,4.0,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,32,16,45,0.708333333,
5319,36.0,4.9,Sunny,Low,2,Meal,scooter,,No,Metropolitian,12,10,15,10,30
5320,38.0,4.4,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,33,18,50,18,55
5321,39.0,4.2,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,18,40,18,50
5322,,,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,,,22,15
5323,25.0,4.5,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,29,20,50,21,05
5324,36.0,4.8,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,30,14,30,14,35
5325,23.0,4.6,Stormy,Jam,2,Meal,scooter,1.0,No,Urban,22,19,55,0.833333333,
5326,23.0,5.0,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,26,17,45,0.75,
5327,37.0,4.1,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,19,40,19,55
5328,38.0,4.4,Stormy,Medium,1,Buffet,scooter,1.0,No,Urban,33,17,45,17,55
5329,33.0,4.8,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,22,10,22,25
5330,,,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,13,,,18,05
5331,31.0,4.5,Windy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,20,08,45,08,55
5332,29.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,24,18,15,18,25
5333,21.0,4.9,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,18,0.791666667,,19,10
5334,36.0,4.9,Fog,Jam,0,Meal,motorcycle,0.0,Yes,Metropolitian,46,19,40,19,50
5335,38.0,4.8,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,21,40,21,55
5336,23.0,4.6,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,14,20,55,21,05
5337,22.0,4.7,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,23,23,40,23,50
5338,22.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,10,22,10,22,15
5339,30.0,4.7,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,23,0.458333333,,11,10
5340,38.0,4.3,Sunny,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,39,17,10,17,15
5341,,,,,3,Meal,scooter,1.0,No,Metropolitian,25,,,20,15
5342,22.0,4.6,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,18,0.791666667,,19,10
5343,20.0,5.0,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,17,22,15,22,25
5344,33.0,3.5,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,35,23,20,23,25
5345,22.0,4.8,Fog,Low,1,Drinks,motorcycle,0.0,No,Urban,16,23,50,23,55
5346,29.0,4.8,Cloudy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,43,20,50,20,55
5347,,,,,3,Buffet,scooter,1.0,Yes,Metropolitian,52,,,19,30
5348,29.0,4.9,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,13,13,10,13,25
5349,20.0,4.8,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,18,15,18,30
5350,24.0,5.0,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,11,15,11,30
5351,23.0,4.5,Stormy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,28,18,55,19,10
5352,20.0,4.8,Windy,Medium,2,Meal,electric_scooter,1.0,No,Urban,24,18,15,18,30
5353,50.0,6.0,,,3,Meal,electric_scooter,1.0,No,Metropolitian,18,,,20,55
5354,21.0,4.7,Stormy,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,18,20,40,20,45
5355,35.0,4.6,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,18,21,55,22,10
5356,20.0,4.6,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,17,0.416666667,,10,05
5357,35.0,4.0,Fog,Low,0,Meal,motorcycle,3.0,No,Metropolitian,44,23,15,23,30
5358,21.0,4.7,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20,10,20,15
5359,36.0,4.5,Windy,Jam,1,Snack,motorcycle,1.0,Yes,Metropolitian,41,21,20,21,35
5360,29.0,4.8,Stormy,Medium,2,Drinks,scooter,0.0,No,Urban,20,16,55,0.708333333,
5361,27.0,4.9,Windy,High,1,Drinks,scooter,0.0,No,Metropolitian,25,11,20,11,35
5362,27.0,4.9,Stormy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,22,17,35,17,50
5363,34.0,4.3,Windy,High,1,Drinks,motorcycle,0.0,No,Metropolitian,33,11,20,11,25
5364,29.0,4.7,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,20,21,10,21,15
5365,26.0,4.8,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,0.458333333,,11,15
5366,35.0,4.9,Fog,Medium,0,Snack,motorcycle,1.0,Yes,Metropolitian,43,18,45,18,55
5367,25.0,5.0,Fog,Medium,1,Buffet,scooter,0.0,No,Metropolitian,34,18,40,18,45
